Title,Price,Rating
Dracula the Un-Dead,$35.63,5/5
Digital Fortress,$58.00,5/5
"Death Note, Vol. 5: Whiteout (Death Note #5)",$52.41,1/5
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",$32.35,3/5
Critique of Pure Reason,$20.75,1/5
Booked,$17.49,5/5
"Blue Lily, Lily Blue (The Raven Cycle #3)",$34.13,5/5
Approval Junkie: Adventures in Caring Too Much,$58.81,5/5
An Abundance of Katherines,$10.00,5/5
America's War for the Greater Middle East: A Military History,$51.22,2/5
Alight (The Generations Trilogy #2),$58.59,4/5
A Girl's Guide to Moving On (New Beginnings #2),$31.30,1/5
A Game of Thrones (A Song of Ice and Fire #1),$46.42,2/5
A Feast for Crows (A Song of Ice and Fire #4),$17.21,4/5
A Clash of Kings (A Song of Ice and Fire #2),$10.79,3/5
Vogue Colors A to Z: A Fashion Coloring Book,$52.35,4/5
The Shining (The Shining #1),$27.88,3/5
The Pilgrim's Progress,$50.26,2/5
The Perfect Play (Play by Play #1),$59.99,3/5
The Passion of Dolssa,$28.32,5/5
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,$38.71,3/5
The Hunger Games (The Hunger Games #1),$29.85,5/5
The Hound of the Baskervilles (Sherlock Holmes #5),$14.82,2/5
The Gunning of America: Business and the Making of American Gun Culture,$16.81,4/5
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,$28.23,2/5
The Demonists (Demonist #1),$52.11,2/5
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",$27.88,2/5
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),$59.71,3/5
The Beast (Black Dagger Brotherhood #14),$46.08,5/5
Some Women,$13.73,5/5
Shopaholic Ties the Knot (Shopaholic #3),$48.39,5/5
Paper and Fire (The Great Library #2),$49.45,5/5
Outlander (Outlander #1),$19.67,5/5
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",$12.36,3/5
No One Here Gets Out Alive,$20.02,5/5
Night Shift (Night Shift #1-20),$12.75,4/5
Needful Things,$47.51,4/5
Mockingjay (The Hunger Games #3),$20.44,4/5
Misery,$34.79,2/5
Little Women (Little Women #1),$28.07,4/5
It,$25.01,3/5
Harry Potter and the Sorcerer's Stone (Harry Potter #1),$13.90,3/5
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),$24.17,4/5
Harry Potter and the Order of the Phoenix (Harry Potter #5),$31.63,4/5
Harry Potter and the Half-Blood Prince (Harry Potter #6),$48.75,5/5
Harry Potter and the Chamber of Secrets (Harry Potter #2),$14.74,1/5
Gone with the Wind,$32.49,3/5
God Is Not Great: How Religion Poisons Everything,$27.80,1/5
Girl With a Pearl Earring,$26.77,1/5
"Fruits Basket, Vol. 4 (Fruits Basket #4)",$50.44,4/5
Far From True (Promise Falls Trilogy #2),$34.93,2/5
Dark Lover (Black Dagger Brotherhood #1),$12.87,1/5
Confessions of a Shopaholic (Shopaholic #1),$48.94,2/5
Changing the Game (Play by Play #2),$13.38,3/5
Candide,$58.63,3/5
Can You Keep a Secret?,$21.94,1/5
Atlas Shrugged,$26.58,5/5
Animal Farm,$57.22,3/5
A Walk to Remember,$56.43,1/5
A New Earth: Awakening to Your Life's Purpose,$55.65,5/5
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",$27.62,1/5
'Salem's Lot,$49.56,4/5
Zero History (Blue Ant #3),$34.77,1/5
Wuthering Heights,$17.73,3/5
World War Z: An Oral History of the Zombie War,$21.80,1/5
Wild: From Lost to Found on the Pacific Crest Trail,$46.02,3/5
"Where'd You Go, Bernadette",$18.13,1/5
When You Are Engulfed in Flames,$30.89,5/5
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,$31.95,3/5
We Are All Completely Beside Ourselves,$24.04,1/5
Walk the Edge (Thunder Road #2),$32.36,3/5
Voyager (Outlander #3),$21.07,5/5
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,$50.66,3/5
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,$13.66,2/5
"Unstuffed: Decluttering Your Home, Mind, and Soul",$58.09,1/5
Under the Banner of Heaven: A Story of Violent Faith,$30.00,1/5
Two Boys Kissing,$32.74,2/5
Twilight (Twilight #1),$41.93,2/5
Twenties Girl,$42.80,2/5
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",$53.51,1/5
Three-Martini Lunch,$23.21,3/5
"Thinking, Fast and Slow",$21.14,1/5
The Wild Robot,$56.07,3/5
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",$14.41,3/5
The Undomestic Goddess,$45.75,4/5
The Travelers,$15.77,1/5
The Tipping Point: How Little Things Can Make a Big Difference,$10.02,2/5
The Thing About Jellyfish,$48.77,1/5
The Stand,$57.86,2/5
The Smitten Kitchen Cookbook,$23.59,1/5
The Silkworm (Cormoran Strike #2),$23.05,5/5
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",$55.55,5/5
The Rose & the Dagger (The Wrath and the Dawn #2),$58.64,4/5
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),$23.21,1/5
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),$42.57,3/5
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),$10.92,1/5
The Rest Is Noise: Listening to the Twentieth Century,$34.77,1/5
The Red Tent,$35.66,5/5
The Purpose Driven Life: What on Earth Am I Here for?,$37.19,3/5
The Purest Hook (Second Circle Tattoos #3),$12.25,1/5
The Picture of Dorian Gray,$29.70,2/5
The Paris Wife,$36.80,3/5
The Obsession,$45.43,1/5
The Nightingale,$26.26,4/5
The New Guy (and Other Senior Year Distractions),$44.92,3/5
The Nanny Diaries (Nanny #1),$52.53,5/5
The Name of God is Mercy,$37.25,2/5
The Maze Runner (The Maze Runner #1),$20.93,1/5
The Lover's Dictionary,$58.09,2/5
The Lonely Ones,$43.59,5/5
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,$33.92,3/5
The Last Painting of Sara de Vos,$55.55,2/5
"The Land of 10,000 Madonnas",$29.64,4/5
The Infinities,$27.41,1/5
The Husband's Secret,$52.51,5/5
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),$47.80,3/5
The Guns of August,$14.54,2/5
The Guernsey Literary and Potato Peel Pie Society,$49.53,1/5
The Goldfinch,$43.58,3/5
The Giver (The Giver Quartet #1),$12.30,1/5
The Girl with All the Gifts,$49.47,3/5
The Girl Who Played with Fire (Millennium Trilogy #2),$22.14,2/5
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),$57.48,1/5
The Exiled,$43.45,3/5
"The End of Faith: Religion, Terror, and the Future of Reason",$22.13,4/5
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",$13.03,4/5
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",$57.35,5/5
The Devil Wears Prada (The Devil Wears Prada #1),$44.29,1/5
The Demon-Haunted World: Science as a Candle in the Dark,$52.25,4/5
The Day the Crayons Came Home (Crayons),$26.33,5/5
The Da Vinci Code (Robert Langdon #2),$22.96,2/5
The Cuckoo's Calling (Cormoran Strike #1),$19.21,1/5
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),$26.78,4/5
The Complete Poems,$41.32,5/5
The Catcher in the Rye,$24.55,1/5
The Cat in the Hat (Beginner Books B-1),$16.26,2/5
The Case for Christ (Cases for Christianity),$47.84,1/5
The Book Thief,$53.49,2/5
The Book of Basketball: The NBA According to The Sports Guy,$44.84,5/5
The Blind Side: Evolution of a Game,$53.71,5/5
The Autobiography of Malcolm X,$23.43,2/5
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",$34.32,3/5
The Art of Fielding,$22.10,1/5
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",$25.83,2/5
Stiff: The Curious Lives of Human Cadavers,$36.74,3/5
Spilled Milk: Based on a True Story,$49.51,1/5
Something Borrowed (Darcy & Rachel #1),$48.96,5/5
Something Blue (Darcy & Rachel #2),$54.62,1/5
Soldier (Talon #3),$24.72,2/5
Shopaholic & Baby (Shopaholic #5),$46.45,2/5
Seven Days in the Art World,$52.33,2/5
Seven Brief Lessons on Physics,$30.60,4/5
Scarlet (The Lunar Chronicles #2),$14.57,4/5
Sarah's Key,$46.29,1/5
"Saga, Volume 3 (Saga (Collected Editions) #3)",$21.57,5/5
Running with Scissors,$12.91,4/5
Rogue Lawyer (Rogue Lawyer #1),$50.11,3/5
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",$41.67,4/5
Rework,$44.88,2/5
Reservations for Two,$11.10,3/5
Red: The True Story of Red Riding Hood,$28.54,3/5
Ready Player One,$19.07,4/5
Quiet: The Power of Introverts in a World That Can't Stop Talking,$43.55,1/5
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),$43.63,3/5
Persepolis: The Story of a Childhood (Persepolis #1-2),$39.13,1/5
Packing for Mars: The Curious Science of Life in the Void,$56.68,2/5
Outliers: The Story of Success,$14.16,1/5
Original Fake,$31.45,3/5
Orange Is the New Black,$24.61,2/5
One for the Money (Stephanie Plum #1),$32.87,2/5
Notes from a Small Island (Notes From a Small Island #1),$40.17,1/5
Night (The Night Trilogy #1),$13.51,1/5
Neither Here nor There: Travels in Europe,$38.95,3/5
Naked,$31.69,3/5
Morning Star (Red Rising #3),$29.40,1/5
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",$57.83,1/5
Midnight Riot (Peter Grant/ Rivers of London - books #1),$55.46,2/5
Me Talk Pretty One Day,$57.60,2/5
Manuscript Found in Accra,$34.98,2/5
Lust & Wonder,$11.87,2/5
Lila (Gilead #3),$12.47,3/5
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",$33.26,2/5
Life Without a Recipe,$59.04,5/5
Life After Life,$26.13,2/5
Letter to a Christian Nation,$22.20,1/5
Let's Pretend This Never Happened: A Mostly True Memoir,$45.11,1/5
Legend (Legend #1),$43.69,4/5
"Lean In: Women, Work, and the Will to Lead",$25.02,1/5
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",$55.50,5/5
Lady Renegades (Rebel Belle #3),$53.04,5/5
Jurassic Park (Jurassic Park #1),$44.97,1/5
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,$42.38,1/5
Is Everyone Hanging Out Without Me? (And Other Concerns),$20.11,3/5
Into the Wild,$56.70,5/5
Inferno (Robert Langdon #4),$41.00,5/5
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",$28.85,3/5
If I Run (If I Run #1),$49.97,4/5
I've Got Your Number,$19.69,1/5
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,$28.88,2/5
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,$33.14,3/5
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",$43.70,2/5
House of Leaves,$54.89,1/5
Horrible Bear!,$37.52,2/5
Holidays on Ice,$51.07,2/5
Heir to the Sky,$44.07,4/5
Green Eggs and Ham (Beginner Books B-16),$10.79,4/5
"Grayson, Vol 3: Nemesis (Grayson #3)",$42.72,1/5
Gratitude,$26.66,5/5
Gone Girl,$37.60,5/5
Golden (Heart of Dread #3),$42.21,4/5
Girl in the Blue Coat,$46.83,2/5
"Fruits Basket, Vol. 3 (Fruits Basket #3)",$45.17,2/5
"Friday Night Lights: A Town, a Team, and a Dream",$51.22,3/5
Fire Bound (Sea Haven/Sisters of the Heart #5),$21.28,4/5
Fifty Shades Freed (Fifty Shades #3),$15.36,5/5
Fellside,$38.62,1/5
Extreme Prey (Lucas Davenport #26),$25.40,3/5
Eragon (The Inheritance Cycle #1),$43.87,3/5
Eclipse (Twilight #3),$18.74,1/5
Dune (Dune #1),$54.86,1/5
Dracula,$52.62,3/5
Do Androids Dream of Electric Sheep? (Blade Runner #1),$51.48,1/5
Disrupted: My Misadventure in the Start-Up Bubble,$15.28,5/5
Dead Wake: The Last Crossing of the Lusitania,$39.24,5/5
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",$17.81,1/5
Darkfever (Fever #1),$56.02,1/5
Dark Places,$23.90,5/5
Crazy Rich Asians (Crazy Rich Asians #1),$49.13,5/5
Counting Thyme,$10.62,1/5
Cosmos,$36.17,2/5
Civilization and Its Discontents,$59.95,2/5
Cinder (The Lunar Chronicles #1),$26.09,1/5
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,$37.35,2/5
Career of Evil (Cormoran Strike #3),$24.72,2/5
Breaking Dawn (Twilight #4),$35.28,5/5
Brave Enough,$51.32,5/5
Boy Meets Boy,$21.12,3/5
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",$27.35,2/5
Blink: The Power of Thinking Without Thinking,$21.74,5/5
Black Flags: The Rise of ISIS,$40.87,1/5
"Black Butler, Vol. 1 (Black Butler #1)",$49.31,1/5
Big Little Lies,$22.11,1/5
Between Shades of Gray,$20.79,5/5
Best of My Love (Fool's Gold #20),$27.41,2/5
Beowulf,$38.35,2/5
Beautiful Creatures (Caster Chronicles #1),$21.55,5/5
Awkward,$38.02,2/5
Ash,$22.06,4/5
Are We There Yet?,$10.66,3/5
Are We Smart Enough to Know How Smart Animals Are?,$56.58,1/5
Annie on My Mind,$36.83,5/5
And Then There Were None,$35.01,2/5
A Walk in the Woods: Rediscovering America on the Appalachian Trail,$30.48,4/5
A Visit from the Goon Squad,$14.08,5/5
A Storm of Swords (A Song of Ice and Fire #3),$31.22,2/5
A Heartbreaking Work of Staggering Genius,$54.29,5/5
8 Keys to Mental Health Through Exercise,$31.04,1/5
#GIRLBOSS,$50.96,1/5
"The Suffragettes (Little Black Classics, #96)",$11.89,2/5
The Sense of an Ending,$31.38,3/5
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",$54.81,1/5
The Course of Love,$16.78,3/5
Sugar Rush (Offensive Line #2),$24.42,1/5
"Saga, Volume 2 (Saga (Collected Editions) #2)",$11.75,3/5
"Run, Spot, Run: The Ethics of Keeping Pets",$20.02,1/5
New Moon (Twilight #2),$12.86,4/5
Life,$31.58,5/5
Kindle Paperwhite User's Guide,$34.00,3/5
H is for Hawk,$57.42,5/5
Girl Online On Tour (Girl Online #2),$53.47,1/5
"Fruits Basket, Vol. 2 (Fruits Basket #2)",$11.64,5/5
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),$52.88,4/5
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",$18.51,4/5
While You Were Mine,$41.32,5/5
Where Lightning Strikes (Bleeding Stars #3),$39.77,3/5
When I'm Gone,$51.96,3/5
Ways of Seeing,$39.51,5/5
"Vampire Knight, Vol. 1 (Vampire Knight #1)",$15.40,1/5
Vampire Girl (Vampire Girl #1),$53.82,2/5
Twenty Love Poems and a Song of Despair,$30.95,4/5
Travels with Charley: In Search of America,$57.82,5/5
Three Wishes (River of Time: California #1),$44.18,2/5
This One Moment (Pushing Limits #1),$48.71,1/5
The Zombie Room,$19.69,5/5
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",$36.52,2/5
The Tumor,$41.56,5/5
The Story of Hong Gildong,$43.19,4/5
The Silent Wife,$12.34,5/5
The Silent Twin (Detective Jennifer Knight #3),$36.25,3/5
The Selfish Gene,$29.45,1/5
The Secret Healer,$34.56,3/5
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",$54.12,3/5
The Republic,$33.78,3/5
The Odyssey,$29.64,3/5
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),$57.70,4/5
The Nicomachean Ethics,$36.34,1/5
The Name of the Wind (The Kingkiller Chronicle #1),$50.59,3/5
The Mirror & the Maze (The Wrath and the Dawn #1.5),$29.38,1/5
The Little Prince,$45.42,2/5
The Light of the Fireflies,$54.43,1/5
The Last Girl (The Dominion Trilogy #1),$36.26,2/5
The Iliad,$16.16,1/5
The Hook Up (Game On #1),$36.29,5/5
The Haters,$27.89,5/5
The Girl You Lost,$12.29,5/5
The Girl In The Ice (DCI Erika Foster #1),$15.85,3/5
The End of the Jesus Era (An Investigation #1),$14.40,1/5
The Edge of Reason (Bridget Jones #2),$19.18,4/5
The Complete Maus (Maus #1-2),$10.64,3/5
The Communist Manifesto,$14.76,3/5
The Bhagavad Gita,$57.49,3/5
The Bette Davis Club,$30.66,3/5
The Art of Not Breathing,$40.83,4/5
Taking Shots (Assassins #1),$18.88,2/5
Starlark,$25.83,3/5
"Skip Beat!, Vol. 01 (Skip Beat! #1)",$42.12,3/5
Sister Sable (The Mad Queen #1),$13.33,3/5
Shatter Me (Shatter Me #1),$42.40,1/5
Shameless,$58.35,3/5
Shadow Rites (Jane Yellowrock #10),$21.72,4/5
Settling the Score (The Summer Games #1),$44.91,2/5
Sense and Sensibility,$37.46,1/5
"Saga, Volume 1 (Saga (Collected Editions) #1)",$28.48,1/5
"Rhythm, Chord & Malykhin",$28.34,2/5
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",$46.96,5/5
Paradise Lost (Paradise #1),$24.96,1/5
"Paper Girls, Vol. 1 (Paper Girls #1-5)",$21.71,4/5
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",$29.87,3/5
Origins (Alphas 0.5),$28.99,1/5
One Second (Seven #7),$52.94,2/5
On the Road (Duluoz Legend),$32.36,3/5
Old Records Never Die: One Man's Quest for His Vinyl and His Past,$55.66,2/5
Off Sides (Off #1),$39.45,5/5
Of Mice and Men,$47.11,2/5
Myriad (Prentor #1),$58.75,4/5
My Perfect Mistake (Over the Top #1),$38.92,2/5
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",$39.39,4/5
Meditations,$25.89,2/5
Matilda,$28.34,1/5
Lost Among the Living,$27.70,4/5
Lord of the Flies,$24.89,3/5
Listen to Me (Fusion #1),$58.99,3/5
Kitchens of the Great Midwest,$57.20,5/5
Jane Eyre,$38.43,5/5
Imperfect Harmony,$34.74,4/5
Icing (Aces Hockey #2),$40.44,4/5
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",$45.24,3/5
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),$34.96,4/5
"Giant Days, Vol. 1 (Giant Days #1-4)",$56.76,4/5
"Fruits Basket, Vol. 1 (Fruits Basket #1)",$40.28,5/5
